,Price,Close,High,Low,Open,Volume,shortsell,shortsellcumsum,Close_up1%,Close_down1%,buyup,buydown,buy,buycumsum
0,2022-01-12,35.42323303222656,35.531229957038306,34.883244746137926,35.42323303222656,469490,True,4.0,35.77746536254883,35.069000701904294,False,False,False,0.0
1,2022-01-20,36.64719772338867,37.22318732266195,35.13523006058658,35.13523006058658,1902986,False,4.0,35.77746536254883,35.069000701904294,True,False,True,1.0
2,2022-02-16,39.81513214111328,39.81513214111328,37.943175805359,38.37516347543787,928721,True,6.0,40.213283462524416,39.41698081970215,False,False,False,16.0
3,2022-02-17,38.66315841674805,40.031127855825915,38.59115925426405,39.88712953085792,780906,False,6.0,40.213283462524416,39.41698081970215,False,True,True,17.0
4,2022-03-22,39.59913635253906,39.88712933906072,38.51915990656072,39.167145041741826,1292862,True,16.0,39.99512771606445,39.20314498901367,False,False,False,27.0
5,2022-03-24,40.319122314453125,40.46312064467375,39.311144988997725,39.52713882229901,1126813,False,16.0,39.99512771606445,39.20314498901367,True,False,True,28.0
6,2022-03-27,41.615089416503906,41.759087735576266,40.53511300954935,40.6791113286217,1263335,True,17.0,42.03124031066895,41.198938522338864,False,False,False,28.0
7,2022-03-29,41.03910446166992,41.54309492864257,40.82311063984134,41.03910446166992,368918,False,17.0,42.03124031066895,41.198938522338864,False,True,True,29.0
8,2022-04-05,42.983062744140625,42.983062744140625,40.60711243600531,41.183102054051474,1407042,True,18.0,43.41289337158203,42.55323211669922,False,False,False,29.0
9,2022-04-06,42.19108200073242,44.20703663747883,41.39909851414289,43.05506098989675,1285290,False,18.0,43.41289337158203,42.55323211669922,False,True,True,30.0
10,2022-04-20,46.798980712890625,46.798980712890625,45.71900423490084,45.71900423490084,1143143,True,21.0,47.266970520019534,46.33099090576172,False,False,False,35.0
11,2022-04-24,46.00699996948242,46.87098266813263,45.57500862015731,46.87098266813263,265658,False,21.0,47.266970520019534,46.33099090576172,False,True,True,36.0
12,2022-05-31,45.43101119995117,45.43101119995117,43.91904339968716,44.639027717714825,822507,True,25.0,45.88532131195068,44.97670108795166,False,False,False,54.0
13,2022-06-02,44.711029052734375,45.21501590260555,43.99104469975002,45.07102122922655,306494,False,25.0,45.88532131195068,44.97670108795166,False,True,True,55.0
14,2022-06-21,43.498130798339844,43.64459064355581,43.13198490992852,43.2052148325365,239969,True,28.0,43.93311210632324,43.063149490356444,False,False,False,63.0
15,2022-06-22,42.98552703857422,43.058753233571174,42.32646148657419,42.83906719932345,140622,False,28.0,43.93311210632324,43.063149490356444,False,True,True,64.0
16,2022-07-18,43.937503814697266,44.37687959776991,40.7886508644953,40.7886508644953,603459,True,29.0,44.37687885284424,43.498128776550296,False,False,False,77.0
17,2022-07-19,43.42490005493164,44.303651660360444,43.35167385833633,43.93750577886986,912263,False,29.0,44.37687885284424,43.498128776550296,False,True,True,78.0
18,2022-07-28,46.06114959716797,46.06114959716797,45.182401745927315,45.25562794005941,333761,True,35.0,46.52176109313965,45.600538101196285,False,False,False,78.0
19,2022-08-02,46.6469841003418,46.86667012670943,45.62177271161739,45.84146246261332,356222,False,35.0,46.52176109313965,45.600538101196285,True,False,True,79.0
20,2022-10-05,40.42250442504883,42.03354397392103,40.05635856512856,41.52094200480963,999547,True,37.0,40.82672946929932,40.01827938079834,False,False,False,114.0
21,2022-10-06,39.9099006652832,40.34927646340468,39.54375478762005,40.05636050619985,296841,False,37.0,40.82672946929932,40.01827938079834,False,True,True,115.0
22,2022-10-23,40.14651870727539,40.22045411906729,39.33324045909824,39.7029137575465,751394,True,38.0,40.54798389434814,39.74505352020264,False,False,False,125.0
23,2022-10-25,38.88962936401367,39.92471378409162,38.815693956755744,39.85077837683369,561063,False,38.0,40.54798389434814,39.74505352020264,False,True,True,126.0
24,2022-11-16,31.05255699157715,31.23739364033654,29.573863801502046,29.832635861867438,1690687,True,39.0,31.36308256149292,30.742031421661377,False,False,False,141.0
25,2022-11-17,30.68288230895996,31.422228870621645,30.461077964410347,31.31132763847461,897130,False,39.0,31.36308256149292,30.742031421661377,False,True,True,142.0
26,2022-12-08,28.63735580444336,28.93309555452313,27.84872023140834,27.898009249627208,1448754,True,41.0,28.923729362487794,28.350982246398925,False,False,False,154.0
27,2022-12-11,26.123579025268555,28.933096390829682,26.123579025268555,28.637356632201598,918056,False,41.0,28.923729362487794,28.350982246398925,False,True,True,155.0
28,2022-12-19,31.05255699157715,31.939774409826708,30.06676153152708,30.263921375639345,2141983,True,45.0,31.36308256149292,30.742031421661377,False,False,False,156.0
29,2022-12-20,30.70752716064453,31.54545364925395,29.918891571515406,30.411789284784998,1048704,False,45.0,31.36308256149292,30.742031421661377,False,True,True,157.0
30,2022-12-21,31.446874618530273,31.545454540018955,30.362499242666,30.461079164154683,791459,True,46.0,31.76134336471557,31.13240587234497,False,False,False,157.0
31,2022-12-25,30.461078643798828,31.34829416152975,30.263920684445058,31.249716121980654,603059,False,46.0,31.76134336471557,31.13240587234497,False,True,True,158.0
