,Price,Close,High,Low,Open,Volume,shortsell,shortsellcumsum,Close_up1%,Close_down1%,buyup,buydown,buy,buycumsum
0,2022-02-01,21.844690322875977,22.13484715756794,21.678884074773194,21.8032379409527,640565,True,2.0,22.063137226104736,21.626243419647217,False,False,False,0.0
1,2022-02-02,21.140024185180664,21.803239382675418,21.140024185180664,21.803239382675418,408105,False,2.0,22.063137226104736,21.626243419647217,False,True,True,1.0
2,2022-03-02,22.176300048828125,22.34210303340875,21.678886175700285,21.96904467830702,1021622,True,3.0,22.39806304931641,21.954537048339844,False,False,False,12.0
3,2022-03-03,21.927593231201172,22.30065157437732,21.720337867305414,22.176299339917026,716385,False,3.0,22.39806304931641,21.954537048339844,False,True,True,13.0
4,2022-03-20,22.217748641967773,22.217748641967773,21.761787198965244,21.761787198965244,199422,True,5.0,22.43992612838745,21.99557115554809,False,False,False,20.0
5,2022-03-21,21.347278594970703,22.259201570551237,21.347278594970703,22.176300078151307,760135,False,5.0,22.43992612838745,21.99557115554809,False,True,True,21.0
6,2022-03-23,22.342100143432617,22.342100143432617,22.010492577369863,22.051943318153317,1051354,True,7.0,22.565521144866945,22.11867914199829,False,False,False,21.0
7,2022-03-30,22.880966186523438,22.922416930012528,22.17629862782325,22.30065085829052,1621428,False,7.0,22.565521144866945,22.11867914199829,True,False,True,22.0
8,2022-04-25,23.627086639404297,23.627086639404297,22.217751393717037,22.507908264347858,1681049,True,8.0,23.86335750579834,23.390815773010253,False,False,False,32.0
9,2022-04-26,22.632259368896484,23.70998522465576,22.176297925369045,23.70998522465576,1728759,False,8.0,23.86335750579834,23.390815773010253,False,True,True,33.0
10,2022-05-29,21.0571231842041,21.181477071176708,20.621887039493124,20.725515551936205,701648,True,9.0,21.267694416046144,20.84655195236206,False,False,False,50.0
11,2022-05-30,22.549358367919922,22.549358367919922,21.05712167030538,21.05712167030538,1664595,False,9.0,21.267694416046144,20.84655195236206,True,False,True,51.0
12,2022-06-16,21.06431770324707,21.12757348172173,20.326328616233916,20.558266470640998,4602980,True,10.0,21.27496088027954,20.8536745262146,False,False,False,60.0
13,2022-06-19,19.820280075073242,20.832381009451506,19.525084733836586,20.74803996003241,460326,False,10.0,21.27496088027954,20.8536745262146,False,True,True,61.0
14,2022-06-28,20.241989135742188,20.28415966144555,19.250975108633746,19.250975108633746,665377,True,11.0,20.44440902709961,20.039569244384765,False,False,False,67.0
15,2022-06-30,19.988962173461914,20.853464530916515,19.988962173461914,20.558267546053678,1462601,False,11.0,20.44440902709961,20.039569244384765,False,True,True,68.0
16,2022-07-21,21.717966079711914,21.928820362272674,21.08540490029939,21.928820362272674,880514,True,14.0,21.935145740509032,21.5007864189148,False,False,False,72.0
17,2022-07-24,21.464941024780273,21.591454260154016,21.296257267038527,21.380599980044266,503240,False,14.0,21.935145740509032,21.5007864189148,False,True,True,73.0
18,2022-08-03,22.434871673583984,22.519214393962983,22.1396763229322,22.181846848986755,1008703,True,16.0,22.659220390319824,22.210522956848145,False,False,False,75.0
19,2022-08-07,21.928821563720703,22.43487120228434,21.802309988214716,22.35053015194702,172857,False,16.0,22.659220390319824,22.210522956848145,False,True,True,76.0
20,2022-10-05,18.32321548461914,18.32321548461914,17.880423329944538,18.259959700847016,1113539,True,19.0,18.50644763946533,18.13998332977295,False,False,False,108.0
21,2022-10-06,18.006935119628906,18.259959926108547,17.964764596593927,18.112363095486117,1145289,False,19.0,18.50644763946533,18.13998332977295,False,True,True,109.0
22,2022-10-23,18.766008377075195,18.976862647463744,18.555155774956305,18.808178897498973,668515,True,22.0,18.953668460845947,18.578348293304444,False,False,False,116.0
23,2022-10-25,18.491897583007812,18.639496066829878,18.133446505539357,18.639496066829878,1510116,False,22.0,18.953668460845947,18.578348293304444,False,True,True,117.0
24,2022-11-24,17.859338760375977,17.859338760375977,16.952665818114642,16.952665818114642,657429,True,23.0,18.03793214797973,17.68074537277222,False,False,False,137.0
25,2022-11-28,17.66956901550293,17.985849602031887,17.226775193400545,17.416544212625816,824807,False,23.0,18.03793214797973,17.68074537277222,False,True,True,138.0
26,2022-11-29,17.92259407043457,18.112363092328657,17.71173978702667,17.71173978702667,544730,True,24.0,18.10182001113892,17.743368129730225,False,False,False,138.0
27,2022-12-04,17.648483276367188,17.796081783113088,17.500886437891136,17.75391125783422,182165,False,24.0,18.10182001113892,17.743368129730225,False,True,True,139.0
28,2022-12-15,16.762897491455078,16.762897491455078,16.235762581044145,16.699641702590537,2412515,True,26.0,16.930526466369628,16.59526851654053,False,False,False,146.0
