,Price,Close,High,Low,Open,Volume,shortsell,shortsellcumsum,Close_up1%,Close_down1%,buyup,buydown,buy,buycumsum
0,2022-01-11,103.718017578125,103.718017578125,99.3432654907209,99.52554393041409,219873,True,1.0,104.75519775390624,102.68083740234376,False,False,False,0.0
1,2022-01-12,101.16607666015625,105.35854331123316,100.61923439322912,103.71801651045178,249539,False,1.0,104.75519775390624,102.68083740234376,False,True,True,1.0
2,2022-01-30,108.63961791992188,110.28015188639985,107.54593324458828,108.82190333479586,309388,True,2.0,109.7260140991211,107.55322174072263,False,False,False,10.0
3,2022-02-01,106.634521484375,109.00417612666567,106.08767917515057,109.00417612666567,255324,False,2.0,109.7260140991211,107.55322174072263,False,True,True,11.0
4,2022-02-08,116.65997314453125,117.75365761137073,111.00925847673352,113.01434898376465,544337,True,4.0,117.82657287597657,115.49337341308592,False,False,False,13.0
5,2022-02-09,114.837158203125,119.3941882905506,114.837158203125,118.30050385095889,325572,False,4.0,117.82657287597657,115.49337341308592,False,True,True,14.0
6,2022-02-10,117.75367736816406,118.11824818958017,113.37893181333206,115.01945878884003,434185,True,5.0,118.9312141418457,116.57614059448242,False,False,False,14.0
7,2022-02-13,115.74858093261719,120.85246093022293,113.01436248539001,116.4777086332686,386356,False,5.0,118.9312141418457,116.57614059448242,False,True,True,15.0
8,2022-02-16,121.21700286865234,122.85753651593437,116.47769425968951,116.6599726856203,505983,True,7.0,122.42917289733889,120.0048328399658,False,False,False,15.0
9,2022-02-17,119.39420318603516,121.76386468991359,118.48279705484404,121.58157233811225,178426,False,7.0,122.42917289733889,120.0048328399658,False,True,True,16.0
10,2022-04-05,120.22037506103516,121.87226087777815,117.83431621427462,120.22037506103516,336076,True,8.0,121.42257881164552,119.0181713104248,False,False,False,44.0
11,2022-04-06,118.93556213378906,121.1380668386734,110.49260175922953,121.1380668386734,236293,False,8.0,121.42257881164552,119.0181713104248,False,True,True,45.0
