,Price,Close,High,Low,Open,Volume,shortsell,shortsellcumsum,Close_up1%,Close_down1%,buyup,buydown,buy,buycumsum
0,2022-01-13,87.51983642578125,87.75167705207471,86.82431454690088,87.28799579948779,5931473,True,1.0,88.39503479003906,86.64463806152344,False,False,False,0.0
1,2022-01-18,85.89695739746094,87.17208092157979,85.89695739746094,86.9402402808309,5022611,False,1.0,88.39503479003906,86.64463806152344,False,True,True,1.0
2,2022-02-20,97.3730697631836,98.41635265350341,95.05466334025064,95.05466334025064,14767596,True,3.0,98.34680046081544,96.39933906555176,False,False,False,17.0
3,2022-02-21,95.2864990234375,97.95266627105194,95.2864990234375,97.48898501059725,8662896,False,3.0,98.34680046081544,96.39933906555176,False,True,True,18.0
4,2022-04-12,99.92330932617188,99.92330932617188,97.025301515088,97.37306245241807,9408049,True,4.0,100.9225424194336,98.92407623291017,False,False,False,51.0
5,2022-04-13,97.9526596069336,100.2710657514764,97.83673929970645,99.92330482979499,9829329,False,4.0,100.9225424194336,98.92407623291017,False,True,True,52.0
6,2022-04-18,105.83524322509766,105.95116353531135,102.93723546975545,102.93723546975545,8968585,True,6.0,106.89359565734864,104.77689079284669,False,False,False,52.0
7,2022-04-19,102.12578582763672,106.41483699179399,102.12578582763672,106.18299638832603,9742012,False,6.0,106.89359565734864,104.77689079284669,False,True,True,53.0
8,2022-04-20,104.67603302001953,104.67603302001953,101.19842394958698,102.12578636836899,7030625,True,7.0,105.72279335021972,103.62927268981932,False,False,False,53.0
9,2022-04-25,106.41484069824219,106.41484069824219,103.63275335972605,104.21235488858358,5568097,False,7.0,105.72279335021972,103.62927268981932,True,False,True,54.0
10,2022-05-30,92.92172241210938,92.92172241210938,89.2122723026405,89.2122723026405,9710973,True,9.0,93.85093963623046,91.99250518798829,False,False,False,68.0
11,2022-05-31,91.71615600585938,94.77644812220375,91.25247473896951,93.29266948319908,16248788,False,9.0,93.85093963623046,91.99250518798829,False,True,True,69.0
12,2022-07-21,82.53526306152344,82.53526306152344,80.2168567957503,81.97884697278077,4281056,True,12.0,83.36061569213867,81.70991043090821,False,False,False,99.0
13,2022-07-25,80.95874786376953,81.70063360749488,80.40232471195766,81.70063360749488,3652774,False,12.0,83.36061569213867,81.70991043090821,False,True,True,100.0
14,2022-09-13,83.92630767822266,83.92630767822266,82.34979423147996,82.4425290680152,4949265,True,13.0,84.76557075500489,83.08704460144043,False,False,False,127.0
15,2022-09-14,82.07158660888672,83.27716076769077,81.51517048759825,81.60790532861053,6295543,False,13.0,84.76557075500489,83.08704460144043,False,True,True,128.0
16,2022-10-05,78.64035034179688,79.56771293037838,77.9911922846608,79.56771293037838,3764927,True,14.0,79.42675384521485,77.8539468383789,False,False,False,141.0
17,2022-10-09,76.4146728515625,78.08392113781407,76.4146728515625,78.08392113781407,2350634,False,14.0,79.42675384521485,77.8539468383789,False,True,True,142.0
18,2022-10-24,81.70063018798828,81.70063018798828,80.40232134679061,80.86600257041735,4975783,True,17.0,82.51763648986817,80.8836238861084,False,False,False,148.0
19,2022-10-26,80.21685791015625,81.88611327478867,79.84591148743633,81.70063652582144,4476490,False,17.0,82.51763648986817,80.8836238861084,False,True,True,149.0
20,2023-03-05,69.6449203491211,69.923131921274,68.99576944771655,69.36671585218237,12520,True,19.0,70.3413695526123,68.94847114562988,False,False,False,237.0
21,2023-03-08,68.7175521850586,68.90302890953926,67.97566651277675,68.90302890953926,4815,False,19.0,70.3413695526123,68.94847114562988,False,True,True,238.0
22,2023-03-23,69.33068084716797,69.33068084716797,68.19875424259443,68.2930802602066,570,True,20.0,70.02398765563964,68.6373740386963,False,False,False,248.0
23,2023-03-29,68.19876098632812,68.76472434457934,68.01010173583468,68.5760650940859,8248,False,20.0,70.02398765563964,68.6373740386963,False,True,True,249.0
24,2023-07-26,71.783203125,71.87752915553817,70.55695033477416,70.83992842638865,7644717,True,22.0,72.50103515625,71.06537109375,False,False,False,297.0
25,2023-07-30,70.74559783935547,71.2172351582845,70.36828654488936,71.12290913382157,2482078,False,22.0,72.50103515625,71.06537109375,False,True,True,298.0
26,2023-11-08,68.02108764648438,68.21269342036341,66.96724127156621,67.35046012861602,3522852,True,27.0,68.70129852294922,67.34087677001953,False,False,False,364.0
27,2023-11-13,67.06304168701172,67.73366918016524,66.96723880360285,67.73366918016524,3403656,False,27.0,68.70129852294922,67.34087677001953,False,True,True,365.0
28,2023-11-21,72.332275390625,72.61969132913856,71.66164794648128,71.75745082288881,3580146,True,31.0,73.05559814453125,71.60895263671875,False,False,False,366.0
29,2023-11-30,73.19451904296875,73.29032192349415,72.04486254879016,72.14067273860682,8321319,False,31.0,73.05559814453125,71.60895263671875,True,False,True,367.0
30,2023-12-18,80.0924301147461,80.763064908259,78.17634323492302,79.61340839479033,6033113,True,35.0,80.89335441589355,79.29150581359863,False,False,False,371.0
