,Price,Close,High,Low,Open,Volume,shortsell,shortsellcumsum,Close_up1%,Close_down1%,buyup,buydown,buy,buycumsum
0,2022-04-20,35.11980056762695,35.518889210440896,34.60668659829474,34.94876257784955,518468,True,1.0,35.47099857330322,34.768602561950686,False,False,False,0.0
1,2022-04-21,34.37863540649414,35.23382534197907,34.37863540649414,35.176812679613406,324016,False,1.0,35.47099857330322,34.768602561950686,False,True,True,1.0
2,2022-05-29,35.8609619140625,35.91797457211347,34.948759385246916,34.948759385246916,459676,True,2.0,36.21957153320312,35.50235229492188,False,False,False,14.0
3,2022-05-30,35.40486145019531,36.26005134029665,35.23382347217505,36.14602602161647,559636,False,2.0,36.21957153320312,35.50235229492188,False,True,True,15.0
4,2022-06-29,34.20759582519531,34.43564646402995,33.63746922810872,33.86551986694336,219607,True,8.0,34.549671783447266,33.86551986694336,False,False,False,30.0
5,2022-06-30,33.751495361328125,34.20759664999472,33.523444716994824,33.86552068349477,123740,False,8.0,34.549671783447266,33.86551986694336,False,True,True,31.0
6,2022-07-19,33.01033020019531,33.12435552040324,32.15514029863585,32.212152958739814,299040,True,9.0,33.340433502197264,32.68022689819336,False,False,False,38.0
7,2022-07-20,32.554229736328125,33.6374703054879,32.38319175172395,33.06734369014065,429551,False,9.0,33.340433502197264,32.68022689819336,False,True,True,39.0
8,2022-08-07,36.83018112182617,37.115244443202535,36.716155793275625,36.7731684575509,582544,True,14.0,37.19848293304443,36.46187931060791,False,False,False,40.0
9,2022-08-09,36.18300247192383,36.53600737408894,35.94766587048042,36.47717322372809,217493,False,14.0,37.19848293304443,36.46187931060791,False,True,True,41.0
10,2022-08-30,38.5952033996582,39.00704246032529,38.301032642038855,38.65403755118207,279640,True,16.0,38.981155433654784,38.20925136566162,False,False,False,47.0
11,2022-08-31,37.88919448852539,38.71287262958029,37.8303603355929,38.35986771198533,328610,False,16.0,38.981155433654784,38.20925136566162,False,True,True,48.0
12,2022-12-15,28.7110652923584,28.7110652923584,27.793252190310803,27.793252190310803,64231,True,17.0,28.998175945281982,28.42395463943481,False,False,False,121.0
13,2022-12-19,28.240392684936523,28.59339759349823,27.981522777753103,28.499262592119948,43652,False,17.0,28.998175945281982,28.42395463943481,False,True,True,122.0
14,2023-04-12,32.53528594970703,32.88829086055376,31.829276128013568,32.12344688705251,799,True,19.0,32.860638809204104,32.20993309020996,False,False,False,178.0
15,2023-04-13,32.12344741821289,32.82945725158021,32.12344741821289,32.535286487677155,952,False,19.0,32.860638809204104,32.20993309020996,False,True,True,179.0
16,2023-05-18,33.59429931640625,33.65313346582202,32.35878217867502,32.594118776338114,1600,True,20.0,33.93024230957031,33.25835632324219,False,False,False,192.0
17,2023-05-21,33.005958557128906,33.82963666728899,32.94712440640319,33.59430006438611,460,False,20.0,33.93024230957031,33.25835632324219,False,True,True,193.0
18,2023-05-22,33.35896301269531,33.53546546249793,32.88828981322166,33.35896301269531,800,True,21.0,33.692552642822264,33.02537338256836,False,False,False,193.0
19,2023-05-23,33.005958557128906,33.41779761220895,33.005958557128906,33.35896346148323,2323,False,21.0,33.692552642822264,33.02537338256836,False,True,True,194.0
20,2023-06-12,33.947303771972656,34.06497206927585,33.35896228545666,33.47663058275986,800,True,22.0,34.286776809692384,33.60783073425293,False,False,False,205.0
21,2023-06-13,33.535465240478516,34.123806735925506,33.476631090933815,34.123806735925506,1632,False,22.0,34.286776809692384,33.60783073425293,False,True,True,206.0
22,2023-11-12,26.263565063476562,26.35770006566338,25.981161852391928,26.07529685457875,524059,True,26.0,26.52620071411133,26.0009294128418,False,False,False,301.0
23,2023-11-13,25.8242130279541,26.36119968403635,25.384858954997966,25.77539487416889,358996,False,26.0,26.52620071411133,26.0009294128418,False,True,True,302.0
24,2023-12-13,28.313880920410156,28.655600545342292,27.9233450042972,28.655600545342292,151479,True,28.0,28.597019729614257,28.030742111206056,False,False,False,315.0
25,2023-12-17,28.020978927612305,28.3138803936927,27.972160775117505,28.069795217885,56403,False,28.0,28.597019729614257,28.030742111206056,False,True,True,316.0
26,2023-12-18,29.143770217895508,29.143770217895508,27.972160634998584,27.972160634998584,526174,True,29.0,29.435207920074465,28.85233251571655,False,False,False,316.0
27,2023-12-20,29.43667221069336,29.631941098753938,29.046136296794334,29.192587031728703,292461,False,29.0,29.435207920074465,28.85233251571655,True,False,True,317.0
28,2024-01-28,30.705915451049805,31.04763320283514,30.510646568124972,31.04763320283514,343712,True,33.0,31.012974605560306,30.398856296539307,False,False,False,333.0
29,2024-01-29,30.1201114654541,30.657098114443865,29.631941107382634,30.608281823525573,517901,False,33.0,31.012974605560306,30.398856296539307,False,True,True,334.0
30,2024-03-10,32.219242095947266,32.56095984052059,31.779888049750078,31.877524351373943,244342,True,35.0,32.54143451690674,31.89704967498779,False,False,False,351.0
31,2024-03-12,31.486988067626953,32.02397471613949,31.438171776752043,32.02397471613949,113203,False,35.0,32.54143451690674,31.89704967498779,False,True,True,352.0
32,2024-03-20,36.85686111450195,37.39384775008931,36.07578930597088,36.07578930597088,939471,True,39.0,37.225429725646975,36.48829250335693,False,False,False,354.0
33,2024-03-21,35.73406982421875,37.052132066368856,35.34353576037175,37.00331577394353,467638,False,39.0,37.225429725646975,36.48829250335693,False,True,True,355.0
34,2024-04-17,32.951499938964844,33.09795253958243,31.73107401529948,31.779890307357224,340951,True,40.0,33.281014938354495,32.62198493957519,False,False,False,367.0
35,2024-04-18,32.414512634277344,33.195584465036404,32.414512634277344,33.097951882858126,245095,False,40.0,33.281014938354495,32.62198493957519,False,True,True,368.0
36,2024-05-08,34.61127853393555,34.806547418677965,33.83020671941008,33.83020671941008,680457,True,44.0,34.957391319274905,34.26516574859619,False,False,False,376.0
37,2024-05-09,34.07429122924805,34.90417931765234,33.48848458645314,34.85536302853046,393449,False,44.0,34.957391319274905,34.26516574859619,False,True,True,377.0
38,2024-06-10,30.1201114654541,30.364196644489837,29.583122954242207,29.631941107382634,262208,True,45.0,30.421312580108644,29.81891035079956,False,False,False,398.0
39,2024-06-12,28.850866317749023,29.97365958830615,28.850866317749023,29.729574418571477,306624,False,45.0,30.421312580108644,29.81891035079956,False,True,True,399.0
40,2024-08-07,26.3123836517334,26.458834390087727,25.87302957444824,26.3123836517334,61121,True,46.0,26.57550748825073,26.049259815216065,False,False,False,433.0
41,2024-08-08,25.238407135009766,26.11711338099122,24.799053080908,26.11711338099122,165025,False,46.0,26.57550748825073,26.049259815216065,False,True,True,434.0
42,2024-08-19,27.4351749420166,27.581625679374156,27.044639021655737,27.23990605072509,96373,True,49.0,27.709526691436768,27.160823192596435,False,False,False,437.0
43,2024-08-25,28.020978927612305,28.753234455035393,27.483990423502114,27.483990423502114,427800,False,49.0,27.709526691436768,27.160823192596435,True,False,True,438.0
44,2024-09-30,29.924842834472656,30.315378751841173,29.241405444633287,29.77839209823723,480772,True,51.0,30.22409126281738,29.62559440612793,False,False,False,460.0
45,2024-10-03,29.387855529785156,29.729575148245164,29.046135911325145,29.241404796794324,351373,False,51.0,30.22409126281738,29.62559440612793,False,True,True,461.0
46,2024-10-06,30.36419677734375,31.731073413479997,28.46033162764609,29.53430679254677,2148095,True,52.0,30.667838745117187,30.060554809570316,False,False,False,461.0
47,2024-10-07,29.827207565307617,30.90118270505862,29.72957498533015,30.46183050849373,599192,False,52.0,30.667838745117187,30.060554809570316,False,True,True,462.0
48,2024-10-22,31.43817138671875,31.92634173829996,31.242902501197424,31.43817138671875,329075,True,56.0,31.75255310058594,31.12378967285156,False,False,False,469.0
49,2024-10-24,30.51064682006836,31.340534923796543,30.461830530045088,31.340534923796543,197989,False,56.0,31.75255310058594,31.12378967285156,False,True,True,470.0
50,2025-01-05,30.149999618530273,30.399999618530273,29.649999618530273,29.700000762939453,206028,True,57.0,30.451499614715576,29.84849962234497,False,False,False,520.0
51,2025-01-19,30.700000762939453,30.850000381469727,30.299999237060547,30.299999237060547,263203,False,57.0,30.451499614715576,29.84849962234497,True,False,True,521.0
52,2025-03-16,26.200000762939453,26.25,25.5,25.5,84755,True,59.0,26.46200077056885,25.938000755310057,False,False,False,551.0
53,2025-03-17,25.899999618530273,26.5,25.899999618530273,26.25,93445,False,59.0,26.46200077056885,25.938000755310057,False,True,True,552.0
54,2025-04-08,23.860000610351562,24.440000534057617,23.360000610351562,23.360000610351562,104570,True,60.0,24.09860061645508,23.62140060424805,False,False,False,562.0
55,2025-04-09,23.1200008392334,23.68000030517578,22.959999084472656,23.399999618530273,77958,False,60.0,24.09860061645508,23.62140060424805,False,True,True,563.0
56,2025-04-14,25.600000381469727,26.0,24.899999618530273,24.979999542236328,118793,True,62.0,25.856000385284425,25.34400037765503,False,False,False,564.0
