,Price,Close,High,Low,Open,Volume,shortsell,shortsellcumsum,Close_up1%,Close_down1%,buyup,buydown,buy,buycumsum
0,2022-01-31,26.749963760375977,27.79767016216065,26.415589775501818,26.437881999082922,7278036,True,1.0,27.017463397979736,26.482464122772218,False,False,False,0.0
1,2022-02-01,26.32642364501953,26.995173511146177,26.32642364501953,26.972881286811393,1402662,False,1.0,27.017463397979736,26.482464122772218,False,True,True,1.0
2,2022-03-07,25.67996597290039,26.125799216458304,25.1895501544941,25.613091173743555,1984281,True,7.0,25.936765632629395,25.423166313171382,False,False,False,17.0
3,2022-03-08,25.211841583251953,25.70225738618335,25.211841583251953,25.679965162578316,928108,False,7.0,25.936765632629395,25.423166313171382,False,True,True,18.0
4,2022-03-09,25.63538360595703,25.969757604452997,25.301009607461065,25.367884407160258,1458269,True,8.0,25.8917374420166,25.37902976989746,False,False,False,18.0
5,2022-03-14,24.74371910095215,25.457051550254437,24.74371910095215,25.457051550254437,618773,False,8.0,25.8917374420166,25.37902976989746,False,True,True,19.0
6,2022-05-11,22.38080406188965,22.93809466001851,22.35851183835858,22.38080406188965,913213,True,11.0,22.604612102508543,22.156996021270757,False,False,False,53.0
7,2022-05-12,21.778928756713867,22.670595202090606,21.778928756713867,22.670595202090606,721838,False,11.0,22.604612102508543,22.156996021270757,False,True,True,54.0
8,2022-06-30,14.667763710021973,14.992196428720863,14.616537688518838,14.633612404430366,576751,True,14.0,14.814441347122193,14.521086072921753,False,False,False,85.0
9,2022-07-03,14.394556999206543,14.78729139183278,14.394556999206543,14.6677636961438,384767,False,14.0,14.814441347122193,14.521086072921753,False,True,True,86.0
10,2022-07-06,14.531161308288574,15.162950156440198,13.745692521753446,13.745692521753446,1992406,True,15.0,14.67647292137146,14.385849695205687,False,False,False,88.0
11,2022-07-14,13.84814453125,14.753141011474789,13.831068878483874,14.54823598893411,555083,False,15.0,14.67647292137146,14.385849695205687,False,True,True,89.0
12,2022-07-21,15.5044584274292,15.641060838349048,15.21417607912438,15.248327384517545,638795,True,18.0,15.65950301170349,15.349413843154908,False,False,False,90.0
13,2022-07-26,15.197099685668945,15.777662480211418,15.197099685668945,15.521532386668694,935296,False,18.0,15.65950301170349,15.349413843154908,False,True,True,91.0
14,2022-08-10,19.10736656188965,19.380573253991454,17.963314709818665,17.98039036229609,2664581,True,26.0,19.298440227508543,18.91629289627075,False,False,False,92.0
15,2022-08-11,18.81708335876465,19.158590771426073,18.663404367248056,19.12444134179783,1325427,False,26.0,19.298440227508543,18.91629289627075,False,True,True,93.0
16,2022-08-15,18.919536590576172,19.209818940251882,18.800008894904153,18.885385285021723,1206825,True,28.0,19.10873195648193,18.73034122467041,False,False,False,93.0
