,Price,Close,High,Low,Open,Volume,shortsell,shortsellcumsum,Close_up1%,Close_down1%,buyup,buydown,buy,buycumsum
0,2022-02-28,49.70436477661133,50.244628229708006,47.18312960397471,47.7233930570714,972757,True,1.0,50.20140842437744,49.207321128845216,False,False,False,0.0
1,2022-03-01,48.08356475830078,49.79440109492431,47.90347581894282,49.79440109492431,459434,False,1.0,50.20140842437744,49.207321128845216,False,True,True,1.0
2,2022-04-14,44.193546295166016,44.65103642967161,43.59881121453238,44.65103642967161,235863,True,3.0,44.63548175811768,43.751610832214354,False,False,False,30.0
3,2022-04-17,43.50730895996094,44.33079255783934,43.370064020562914,44.19354412806875,117802,False,3.0,44.63548175811768,43.751610832214354,False,True,True,31.0
4,2022-04-18,45.611759185791016,47.02998121383622,43.09556376752953,43.55305384357708,1093722,True,4.0,46.06787677764893,45.15564159393311,False,False,False,31.0
5,2022-04-19,44.87977981567383,47.21297871617338,44.8340315020116,45.61176330538725,527085,False,4.0,46.06787677764893,45.15564159393311,False,True,True,32.0
6,2022-05-19,43.04981994628906,43.73605513190591,39.435647270632465,40.487875951394024,972582,True,5.0,43.48031814575195,42.619321746826174,False,False,False,47.0
7,2022-05-22,42.226341247558594,43.46156322734454,42.08909280963893,43.09556971980727,129031,False,5.0,43.48031814575195,42.619321746826174,False,True,True,48.0
8,2022-05-30,44.37654113769531,44.60528619510612,42.77532573581971,43.461560908052114,589939,True,7.0,44.82030654907226,43.93277572631836,False,False,False,52.0
9,2022-05-31,43.46156311035156,45.200027030914725,43.46156311035156,44.83403352436266,273765,False,7.0,44.82030654907226,43.93277572631836,False,True,True,53.0
10,2022-06-01,44.37654113769531,44.9255278793322,43.87330270946607,43.91905102287372,241795,True,8.0,44.82030654907226,43.93277572631836,False,False,False,53.0
11,2022-06-02,43.46156311035156,44.83403352436266,43.278566357075526,44.83403352436266,152916,False,8.0,44.82030654907226,43.93277572631836,False,True,True,54.0
12,2022-07-03,39.344146728515625,39.38989503826502,38.108924913420445,38.42916657203852,165252,True,9.0,39.73758819580078,38.95070526123047,False,False,False,73.0
13,2022-07-05,38.52066421508789,39.06965441778501,38.15467423699554,39.06965441778501,138317,False,9.0,39.73758819580078,38.95070526123047,False,True,True,74.0
14,2022-07-25,39.98463439941406,39.98463439941406,38.612164135066024,38.65791244580315,266702,True,12.0,40.38448074340821,39.58478805541992,False,False,False,80.0
15,2022-07-27,39.161155700683594,39.84739091795155,39.115407384273624,39.71014596872165,97483,False,12.0,40.38448074340821,39.58478805541992,False,True,True,81.0
16,2022-08-17,43.04981994628906,43.278565008161344,42.0890913845,42.36358476067221,190214,True,15.0,43.48031814575195,42.619321746826174,False,False,False,88.0
17,2022-08-18,42.18058395385742,42.95831918360153,42.18058395385742,42.77532245363984,112932,False,15.0,43.48031814575195,42.619321746826174,False,True,True,89.0
18,2022-09-04,55.722293853759766,57.55225419719526,53.89233351032427,53.89233351032427,1495076,True,17.0,56.279516792297365,55.16507091522217,False,False,False,98.0
