,ticker,entry_date,entry_price,exit_date,exit_price,profit_percentage
12978,1080.SR,2022-02-01,17.892447954940796,2022-02-07,18.08313278388977,-1.0657280067500152
12977,1080.SR,2022-02-17,18.75052395515442,2022-02-20,18.273815702819824,2.5423729676820663
12976,1080.SR,2022-03-03,17.79710745048523,2022-03-06,17.1297181892395,3.7499872555274782
12975,1080.SR,2022-04-18,21.405192402648925,2022-04-19,20.69598327713013,3.313257419872717
12974,1080.SR,2022-04-20,21.147295917892457,2022-04-21,20.63150867843628,2.4390221873226645
12973,1080.SR,2022-05-08,22.855840312957763,2022-05-09,21.72755393600464,4.936534214029574
12972,1080.SR,2022-05-25,19.857824954223634,2022-05-29,19.37427501411438,2.4350599384571807
12971,1080.SR,2022-05-30,19.82558956489563,2022-05-31,20.180192217636108,-1.788610883826421
12970,1080.SR,2022-06-16,20.244666816329957,2022-06-19,18.92296237335205,6.5286549537667895
12969,1080.SR,2022-06-27,19.92229955291748,2022-06-28,19.503222301483156,2.1035586294703257
12968,1080.SR,2022-07-20,20.380495901870727,2022-07-24,20.085600440597535,1.4469493906972302
12967,1080.SR,2022-08-02,21.035817663574218,2022-08-03,20.80645304145813,1.0903527772692978
12966,1080.SR,2022-09-15,20.577090329360963,2022-09-18,20.314963152694702,1.2738787285792226
12965,1080.SR,2022-11-07,22.77241641654968,2022-11-08,22.313692902374267,2.0143822499312827
12964,1080.SR,2022-11-09,22.60858836364746,2022-11-10,21.789436639022828,3.623188283359403
12963,1080.SR,2022-11-30,22.706883667373656,2022-12-01,21.854967478179933,3.7517970394933466
12962,1080.SR,2022-12-14,21.625604766082763,2022-12-15,21.29794484024048,1.515148035795881
12961,1080.SR,2022-12-28,21.789436639022828,2022-12-29,21.003051288986207,3.60902102731871
12960,1080.SR,2023-02-13,17.660909731292726,2023-02-14,17.103889003372192,3.1539752843737676
12959,1080.SR,2023-03-08,17.33325171546936,2023-03-14,16.31750365333557,5.860112567495148
12958,1080.SR,2023-03-23,17.497081678390504,2023-03-29,16.927252363586426,3.2567106062483377
12957,1080.SR,2023-04-04,18.536177811813353,2023-04-05,18.30154535751343,1.2658081762162912
