,Price,Close,High,Low,Open,Volume,shortsell,shortsellcumsum,Close_up1%,Close_down1%,buyup,buydown,buy,buycumsum
0,2022-01-16,38.34027099609375,38.34027099609375,37.6628810613408,37.9338363461653,332255,True,1.0,38.72367370605469,37.95686828613281,False,False,False,0.0
1,2022-01-17,37.933837890625,38.34027255710125,37.7531998782596,38.34027255710125,241723,False,1.0,38.72367370605469,37.95686828613281,False,True,True,1.0
2,2022-03-02,36.127464294433594,36.98549226050309,36.127464294433594,36.127464294433594,752105,True,2.0,36.48873893737793,35.766189651489256,False,False,False,25.0
3,2022-03-03,35.4500732421875,36.57905646646098,35.269435237227064,36.443577101394816,209442,False,2.0,36.48873893737793,35.766189651489256,False,True,True,26.0
4,2022-03-22,36.39841842651367,36.39841842651367,35.721028492600695,35.721028492600695,108557,True,3.0,36.76240261077881,36.03443424224854,False,False,False,32.0
5,2022-03-24,37.301605224609375,37.617722596192685,36.57905664659286,36.57905664659286,498820,False,3.0,36.76240261077881,36.03443424224854,True,False,True,33.0
6,2022-03-30,43.262638092041016,43.80454865602406,38.97250188346134,39.74020909000121,2595576,True,6.0,43.69526447296143,42.830011711120605,False,False,False,33.0
7,2022-03-31,42.13365173339844,43.262634861888394,41.99817237982641,43.262634861888394,548739,False,6.0,43.69526447296143,42.830011711120605,False,True,True,34.0
8,2022-04-06,41.907859802246094,43.894867574667856,40.372441886424625,40.64339717853819,1015104,True,7.0,42.32693840026855,41.48878120422364,False,False,False,37.0
9,2022-04-07,41.185306549072266,41.862696482085845,41.00467198990867,41.862696482085845,386823,False,7.0,42.32693840026855,41.48878120422364,False,True,True,38.0
10,2022-04-17,44.481937408447266,45.159327318220576,43.4432715019749,43.62390950032443,1170056,True,8.0,44.92675678253174,44.03711803436279,False,False,False,42.0
11,2022-04-18,43.62390899658203,44.617416253340416,43.35295372487818,44.391619619356675,474621,False,8.0,44.92675678253174,44.03711803436279,False,True,True,43.0
12,2022-04-20,45.11417007446289,45.43028399730825,44.48193878338882,45.06901143482546,522095,True,10.0,45.56531177520752,44.66302837371826,False,False,False,43.0
13,2022-04-21,43.48843765258789,45.1593315414688,43.48843765258789,45.11417289900405,383115,False,10.0,45.56531177520752,44.66302837371826,False,True,True,44.0
14,2022-05-08,49.687747955322266,49.687747955322266,45.679168567752924,46.61139649770706,1400477,True,12.0,50.184625434875485,49.190870475769046,False,False,False,47.0
15,2022-05-09,47.357177734375,49.68774753976911,47.357177734375,49.68774753976911,1100927,False,12.0,50.184625434875485,49.190870475769046,False,True,True,48.0
16,2022-05-29,46.61139678955078,46.61139678955078,45.86561515215144,46.14528282165527,275755,True,13.0,47.07751075744629,46.14528282165527,False,False,False,61.0
17,2022-05-31,47.263954162597656,47.263954162597656,45.11983075276328,46.191890679596895,348105,False,13.0,47.07751075744629,46.14528282165527,True,False,True,62.0
18,2022-06-21,44.933387756347656,45.16644474309618,43.81471350872129,44.04777049546981,256342,True,16.0,45.38272163391113,44.48405387878418,False,False,False,68.0
19,2022-06-22,43.67487716674805,44.74694071040169,42.50959225241467,44.74694071040169,211171,False,16.0,45.38272163391113,44.48405387878418,False,True,True,69.0
20,2022-06-23,43.861324310302734,43.861324310302734,42.55620731477575,42.74265005973145,101496,True,17.0,44.29993755340576,43.42271106719971,False,False,False,69.0
21,2022-06-29,43.30198669433594,44.001157619789694,43.30198669433594,43.53504366948719,90831,False,17.0,44.29993755340576,43.42271106719971,False,True,True,70.0
22,2022-07-13,45.67917251586914,45.67917251586914,43.535048802888404,43.62827018147414,407567,True,18.0,46.13596424102784,45.222380790710446,False,False,False,72.0
