,Price,Close,High,Low,Open,Volume,shortsell,shortsellcumsum,Close_up1%,Close_down1%,buyup,buydown,buy,buycumsum
0,2022-01-09,28.684167861938477,28.83330535888672,27.739627838134766,27.888765335083008,1536480,True,1.0,28.971009540557866,28.39732618331909,False,False,False,0.0
1,2022-01-10,28.236753463745117,28.932729721069336,28.1373291015625,28.83330535888672,1466165,False,1.0,28.971009540557866,28.39732618331909,False,True,True,1.0
2,2022-03-27,23.623424530029297,23.941585540771484,22.887678146362305,23.0666446685791,1055425,True,2.0,23.85965877532959,23.387190284729005,False,False,False,49.0
3,2022-03-28,23.245609283447266,23.80238914489746,23.245609283447266,23.80238914489746,387635,False,2.0,23.85965877532959,23.387190284729005,False,True,True,50.0
4,2022-04-11,21.555381774902344,21.615036010742188,21.257104873657227,21.376415252685547,470810,True,4.0,21.77093559265137,21.33982795715332,False,False,False,57.0
5,2022-04-13,20.81963539123535,21.257104873657227,20.58101463317871,21.257104873657227,401808,False,4.0,21.77093559265137,21.33982795715332,False,True,True,58.0
6,2022-05-22,20.660554885864258,21.51561164855957,20.382164001464844,20.501474380493164,1087128,True,5.0,20.8671604347229,20.45394933700561,False,False,False,79.0
7,2022-05-23,20.441818237304688,21.018484115600586,20.402048110961914,20.779865264892578,319068,False,5.0,20.8671604347229,20.45394933700561,False,True,True,80.0
8,2022-06-07,22.11216163635254,22.45020866394043,21.436071395874023,21.575265884399414,1693449,True,6.0,22.333283252716065,21.891040019989013,False,False,False,86.0
9,2022-06-08,21.296876907348633,22.33089828491211,21.217334747314453,22.271242141723633,847693,False,6.0,22.333283252716065,21.891040019989013,False,True,True,87.0
10,2022-06-26,16.942052841186523,16.981821060180664,16.30573081970215,16.54435157775879,362640,True,7.0,17.11147336959839,16.772632312774657,False,False,False,98.0
11,2022-06-27,16.604005813598633,17.49883270263672,16.56423568725586,16.822742462158203,470602,False,7.0,17.11147336959839,16.772632312774657,False,True,True,99.0
12,2022-06-29,17.200557708740234,17.220443725585938,16.68354606628418,16.8028564453125,313488,True,9.0,17.37256328582764,17.02855213165283,False,False,False,99.0
